,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2024-03-27,931.12,932.4,891.23,902.5,902.468561948637,58606723,0.0000,1.0
2024-03-26,958.51,963.75,925.02,925.61,925.577756925515,51364758,0.0000,1.0
2024-03-25,939.41,967.6599,935.1,950.02,949.986906617666,55213608,0.0000,1.0
2024-03-22,911.41,947.7799,908.3401,942.89,942.857154986981,58671936,0.0000,1.0
2024-03-21,923.0,926.48,904.05,914.35,914.318149160926,48037231,0.0000,1.0
2024-03-20,897.97,904.1,882.23,903.72,903.688519450661,47906279,0.0000,1.0
2024-03-19,867.0,905.44,850.1,893.98,893.948858737775,67217127,0.0000,1.0
2024-03-18,903.88,924.05,870.85,884.55,884.519187226223,66897593,0.0000,1.0
2024-03-15,869.3,895.46,862.57,878.365,878.334402677024,64208616,0.0000,1.0
2024-03-14,895.77,906.46,866.0,879.44,879.409365230038,59711081,0.0000,1.0
2024-03-13,910.55,915.04,884.35,908.88,908.848339705127,62726626,0.0000,1.0
2024-03-12,880.49,919.6,861.501,919.13,919.097982652466,65437480,0.0000,1.0
2024-03-11,864.29,887.97,841.66,857.74,857.710121136647,66611510,0.0000,1.0
2024-03-08,951.379,974.0,865.06,875.28,875.249510141166,114226906,0.0000,1.0
2024-03-07,901.58,927.67,896.0201,926.69,926.657719304357,60811916,0.0000,1.0
2024-03-06,880.22,897.24,870.3001,887.0,886.969101881929,58252030,0.0000,1.0
2024-03-05,852.7,860.97,834.1701,859.64,859.610054951275,52063930,0.0400,1.0
2024-03-04,841.3,876.95,837.19,852.37,852.300649705494,61561645,0.0000,1.0
2024-03-01,800.0,823.0,794.3503,822.79,822.723056385353,47913510,0.0000,1.0
2024-02-29,790.94,799.9,783.5,791.12,791.055633111219,50728898,0.0000,1.0
2024-02-28,776.2,789.33,771.25,776.63,776.566812042631,39311040,0.0000,1.0
2024-02-27,793.81,794.8,771.62,787.01,786.945967507914,39170524,0.0000,1.0
2024-02-26,797.0,806.4599,785.05,790.92,790.855649383565,50397273,0.0000,1.0
2024-02-23,807.9,823.94,775.7,788.17,788.105873128311,82938837,0.0000,1.0
2024-02-22,750.25,785.75,742.2,785.38,785.316100127527,86509974,0.0000,1.0
2024-02-21,680.06,688.88,662.48,674.72,674.665103616142,69029813,0.0000,1.0
2024-02-20,719.47,719.56,677.34,694.52,694.463492653964,70483310,0.0000,1.0
2024-02-16,741.0,744.02,725.01,726.13,726.070920809801,49532662,0.0000,1.0
2024-02-15,738.69,739.75,724.0,726.58,726.520884197024,42012181,0.0000,1.0
2024-02-14,732.02,742.36,719.38,739.0,738.939873684386,50491742,0.0000,1.0
2024-02-13,704.0,734.5,696.2,721.28,721.221315414173,60258015,0.0000,1.0
2024-02-12,726.0,746.11,712.5,722.48,722.421217780101,61371018,0.0000,1.0
2024-02-09,705.33,721.85,702.12,721.33,721.271311346086,43663689,0.0000,1.0
2024-02-08,700.74,707.94,694.55,696.41,696.353338880302,41442211,0.0000,1.0
2024-02-07,683.19,702.2,676.0,700.99,700.932966243596,49557455,0.0000,1.0
2024-02-06,696.3,697.5399,663.0,682.23,682.174492589578,68311136,0.0000,1.0
2024-02-05,682.25,694.97,672.05,693.32,693.263590288036,68007801,0.0000,1.0
2024-02-02,639.74,666.0,636.9,661.6,661.546171081989,47657765,0.0000,1.0
2024-02-01,621.0,631.91,616.5,630.27,630.218720144868,36914579,0.0000,1.0
2024-01-31,614.4,622.6902,607.0,615.27,615.21994057076,45379487,0.0000,1.0
2024-01-30,629.0,634.93,622.6,627.74,627.688925990036,41073530,0.0000,1.0
2024-01-29,612.32,624.89,609.07,624.65,624.599177397769,34873298,0.0000,1.0
2024-01-26,609.6,617.83,605.73,610.31,610.260344124922,39030859,0.0000,1.0
2024-01-25,623.5,627.19,608.5,616.17,616.119867345207,48277684,0.0000,1.0
2024-01-24,603.04,628.49,599.38,613.62,613.570074817609,55706870,0.0000,1.0
2024-01-23,595.7,599.1,585.85,598.73,598.681286293711,29465445,0.0000,1.0
2024-01-22,600.49,603.31,590.7,596.54,596.491464475891,45295463,0.0000,1.0
2024-01-19,579.89,595.0,572.25,594.91,594.861597095505,54350148,0.0000,1.0
2024-01-18,572.6,576.0,561.07,571.07,571.023536759056,49165036,0.0000,1.0
2024-01-17,563.47,564.7068,547.4,560.53,560.484394311649,47439444,0.0000,1.0
